question_id,judge_item_ids,judge_pair_ids,judge_splits,judge_orderings,judge_gold_labels,judge_n_pair_items,judge_difficulty_meta,judge_difficulty,judge_difficulty_centered,judge_difficulty_pair_sd,judge_difficulty_laplace_se,judge_difficulty_centered_laplace_se,judge_dominant_factors,judge_scores
abc338_c,['gemini_2.5_flash_lite:abc338_c:237:bwd'],['gemini_2.5_flash_lite:abc338_c:237'],['gemini_2.5_flash_lite'],['bwd'],{'gemini_2.5_flash_lite:abc338_c:237:bwd': 'B'},1,hard,18.850095748901367,20.48584747314453,0.0,3.1569457054138184,3.156541109085083,{'gemini_2.5_flash_lite:abc338_c:237:bwd': 'factor_1'},"{'claude_haiku_4_5': 0.0, 'mistral_14b': 0.0, 'mistral_3b': 0.0, 'mistral_8b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_27b': 0.0, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0}"
3558,"['claude_3.7_sonnet:3558:236:bwd', 'gemini_2.5_flash_lite:3558:104:bwd', 'gemini_2.5_flash:3558:349:fwd', 'qwen3_235b:3558:53:fwd']","['claude_3.7_sonnet:3558:236', 'gemini_2.5_flash_lite:3558:104', 'gemini_2.5_flash:3558:349', 'qwen3_235b:3558:53']","['claude_3.7_sonnet', 'gemini_2.5_flash', 'gemini_2.5_flash_lite', 'qwen3_235b']","['bwd', 'fwd']","{'claude_3.7_sonnet:3558:236:bwd': 'B', 'gemini_2.5_flash_lite:3558:104:bwd': 'B', 'gemini_2.5_flash:3558:349:fwd': 'A', 'qwen3_235b:3558:53:fwd': 'A'}",4,medium,3.264903798699379,4.900655642151833,7.404715703885659,2.126866001736414,2.1262614164286564,"{'claude_3.7_sonnet:3558:236:bwd': 'factor_1', 'gemini_2.5_flash_lite:3558:104:bwd': 'factor_1', 'gemini_2.5_flash:3558:349:fwd': 'factor_1', 'qwen3_235b:3558:53:fwd': 'factor_1'}","{'claude_haiku_4_5': 0.25, 'mistral_14b': 0.5, 'mistral_3b': 0.5, 'mistral_8b': 0.5, 'qwen3_5_0_8b': 0.5, 'qwen3_5_27b': 0.75, 'qwen3_5_2b': 0.25, 'qwen3_5_4b': 0.5, 'qwen3_5_9b': 0.25}"
3453,"['claude_3.7_sonnet:3453:48:bwd', 'gemini_2.5_flash:3453:52:bwd', 'claude_4_opus:3453:39:bwd', 'claude_4_sonnet:3453:61:bwd', 'gemini_2.5_flash_lite:3453:81:fwd', 'gemini_2.5_pro:3453:19:fwd']","['claude_3.7_sonnet:3453:48', 'gemini_2.5_flash:3453:52', 'claude_4_opus:3453:39', 'claude_4_sonnet:3453:61', 'gemini_2.5_flash_lite:3453:81', 'gemini_2.5_pro:3453:19']","['claude_3.7_sonnet', 'claude_4_opus', 'claude_4_sonnet', 'gemini_2.5_flash', 'gemini_2.5_flash_lite', 'gemini_2.5_pro']","['bwd', 'fwd']","{'claude_3.7_sonnet:3453:48:bwd': 'B', 'gemini_2.5_flash:3453:52:bwd': 'B', 'claude_4_opus:3453:39:bwd': 'B', 'claude_4_sonnet:3453:61:bwd': 'B', 'gemini_2.5_flash_lite:3453:81:fwd': 'A', 'gemini_2.5_pro:3453:19:fwd': 'A'}",6,hard,4.413649012645085,6.049400796492894,6.246707611829399,2.1112513002945463,2.1105205943723373,"{'claude_3.7_sonnet:3453:48:bwd': 'factor_1', 'gemini_2.5_flash:3453:52:bwd': 'factor_1', 'claude_4_opus:3453:39:bwd': 'factor_1', 'claude_4_sonnet:3453:61:bwd': 'factor_1', 'gemini_2.5_flash_lite:3453:81:fwd': 'factor_1', 'gemini_2.5_pro:3453:19:fwd': 'factor_1'}","{'claude_haiku_4_5': 0.3333333333333333, 'mistral_14b': 0.3333333333333333, 'mistral_3b': 0.3333333333333333, 'mistral_8b': 0.3333333333333333, 'qwen3_5_0_8b': 0.3333333333333333, 'qwen3_5_27b': 0.3333333333333333, 'qwen3_5_2b': 0.6666666666666666, 'qwen3_5_4b': 0.6666666666666666, 'qwen3_5_9b': 0.16666666666666666}"
3535,"['gemini_2.5_flash_lite:3535:100:bwd', 'claude_3.7_sonnet:3535:235:bwd']","['gemini_2.5_flash_lite:3535:100', 'claude_3.7_sonnet:3535:235']","['claude_3.7_sonnet', 'gemini_2.5_flash_lite']",['bwd'],"{'gemini_2.5_flash_lite:3535:100:bwd': 'B', 'claude_3.7_sonnet:3535:235:bwd': 'B'}",2,medium,6.389013409614563,8.024765193462372,10.319204465144852,1.163749092329256,1.16468265094558,"{'gemini_2.5_flash_lite:3535:100:bwd': 'factor_1', 'claude_3.7_sonnet:3535:235:bwd': 'factor_1'}","{'claude_haiku_4_5': 0.0, 'mistral_14b': 0.5, 'mistral_3b': 0.5, 'mistral_8b': 0.0, 'qwen3_5_0_8b': 0.0, 'qwen3_5_27b': 0.5, 'qwen3_5_2b': 1.0, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.5}"
3406,"['qwen3_235b:3406:33:bwd', 'gemini_2.5_pro:3406:15:bwd', 'claude_4_sonnet:3406:55:fwd', 'gemini_2.5_flash_lite:3406:73:bwd', 'claude_4_opus:3406:32:bwd', 'gemini_2.5_flash:3406:46:fwd', 'claude_3.7_sonnet:3406:43:bwd']","['qwen3_235b:3406:33', 'gemini_2.5_pro:3406:15', 'claude_4_sonnet:3406:55', 'gemini_2.5_flash_lite:3406:73', 'claude_4_opus:3406:32', 'gemini_2.5_flash:3406:46', 'claude_3.7_sonnet:3406:43']","['claude_3.7_sonnet', 'claude_4_opus', 'claude_4_sonnet', 'gemini_2.5_flash', 'gemini_2.5_flash_lite', 'gemini_2.5_pro', 'qwen3_235b']","['bwd', 'fwd']","{'qwen3_235b:3406:33:bwd': 'B', 'gemini_2.5_pro:3406:15:bwd': 'B', 'claude_4_sonnet:3406:55:fwd': 'A', 'gemini_2.5_flash_lite:3406:73:bwd': 'B', 'claude_4_opus:3406:32:bwd': 'B', 'gemini_2.5_flash:3406:46:fwd': 'A', 'claude_3.7_sonnet:3406:43:bwd': 'B'}",7,hard,1.414122471851962,3.0498742886951993,5.156881734385248,2.304299952541875,2.303418681866906,"{'qwen3_235b:3406:33:bwd': 'factor_1', 'gemini_2.5_pro:3406:15:bwd': 'factor_1', 'claude_4_sonnet:3406:55:fwd': 'factor_1', 'gemini_2.5_flash_lite:3406:73:bwd': 'factor_1', 'claude_4_opus:3406:32:bwd': 'factor_1', 'gemini_2.5_flash:3406:46:fwd': 'factor_1', 'claude_3.7_sonnet:3406:43:bwd': 'factor_1'}","{'claude_haiku_4_5': 0.14285714285714285, 'mistral_14b': 0.5714285714285714, 'mistral_3b': 0.2857142857142857, 'mistral_8b': 0.7142857142857143, 'qwen3_5_0_8b': 0.42857142857142855, 'qwen3_5_27b': 0.5714285714285714, 'qwen3_5_2b': 0.5714285714285714, 'qwen3_5_4b': 0.7142857142857143, 'qwen3_5_9b': 0.5714285714285714}"
abc328_e,"['gemini_2.5_flash_lite:abc328_e:223:bwd', 'claude_3.7_sonnet:abc328_e:269:fwd', 'claude_4_sonnet:abc328_e:166:bwd', 'gemini_2.5_flash:abc328_e:165:fwd', 'claude_4_opus:abc328_e:120:fwd']","['gemini_2.5_flash_lite:abc328_e:223', 'claude_3.7_sonnet:abc328_e:269', 'claude_4_sonnet:abc328_e:166', 'gemini_2.5_flash:abc328_e:165', 'claude_4_opus:abc328_e:120']","['claude_3.7_sonnet', 'claude_4_opus', 'claude_4_sonnet', 'gemini_2.5_flash', 'gemini_2.5_flash_lite']","['bwd', 'fwd']","{'gemini_2.5_flash_lite:abc328_e:223:bwd': 'B', 'claude_3.7_sonnet:abc328_e:269:fwd': 'A', 'claude_4_sonnet:abc328_e:166:bwd': 'B', 'gemini_2.5_flash:abc328_e:165:fwd': 'A', 'claude_4_opus:abc328_e:120:fwd': 'A'}",5,hard,1.3156982511281967,2.9514500498771667,7.057215580441258,2.0170449834237796,2.0164290362220494,"{'gemini_2.5_flash_lite:abc328_e:223:bwd': 'factor_1', 'claude_3.7_sonnet:abc328_e:269:fwd': 'factor_1', 'claude_4_sonnet:abc328_e:166:bwd': 'factor_1', 'gemini_2.5_flash:abc328_e:165:fwd': 'factor_1', 'claude_4_opus:abc328_e:120:fwd': 'factor_1'}","{'claude_haiku_4_5': 0.6, 'mistral_14b': 0.2, 'mistral_3b': 0.2, 'mistral_8b': 0.4, 'qwen3_5_0_8b': 0.6, 'qwen3_5_27b': 1.0, 'qwen3_5_2b': 0.8, 'qwen3_5_4b': 0.8, 'qwen3_5_9b': 0.8}"
abc330_e,"['gemini_2.5_flash_lite:abc330_e:224:bwd', 'gemini_2.5_flash:abc330_e:168:bwd', 'gemini_2.5_pro:abc330_e:92:fwd']","['gemini_2.5_flash_lite:abc330_e:224', 'gemini_2.5_flash:abc330_e:168', 'gemini_2.5_pro:abc330_e:92']","['gemini_2.5_flash', 'gemini_2.5_flash_lite', 'gemini_2.5_pro']","['bwd', 'fwd']","{'gemini_2.5_flash_lite:abc330_e:224:bwd': 'B', 'gemini_2.5_flash:abc330_e:168:bwd': 'B', 'gemini_2.5_pro:abc330_e:92:fwd': 'A'}",3,hard,4.739596605300903,6.3753483692804975,7.011629482226249,0.8219021084674741,0.8229146212307431,"{'gemini_2.5_flash_lite:abc330_e:224:bwd': 'factor_1', 'gemini_2.5_flash:abc330_e:168:bwd': 'factor_1', 'gemini_2.5_pro:abc330_e:92:fwd': 'factor_1'}","{'claude_haiku_4_5': 0.3333333333333333, 'mistral_14b': 0.3333333333333333, 'mistral_3b': 0.3333333333333333, 'mistral_8b': 0.3333333333333333, 'qwen3_5_0_8b': 0.3333333333333333, 'qwen3_5_27b': 0.3333333333333333, 'qwen3_5_2b': 0.6666666666666666, 'qwen3_5_4b': 1.0, 'qwen3_5_9b': 0.0}"
2920,"['gemini_2.5_flash:2920:12:bwd', 'claude_3.7_sonnet:2920:13:fwd', 'gemini_2.5_flash_lite:2920:20:fwd', 'claude_4_opus:2920:10:fwd']","['gemini_2.5_flash:2920:12', 'claude_3.7_sonnet:2920:13', 'gemini_2.5_flash_lite:2920:20', 'claude_4_opus:2920:10']","['claude_3.7_sonnet', 'claude_4_opus', 'gemini_2.5_flash', 'gemini_2.5_flash_lite']","['bwd', 'fwd']","{'gemini_2.5_flash:2920:12:bwd': 'B', 'claude_3.7_sonnet:2920:13:fwd': 'A', 'gemini_2.5_flash_lite:2920:20:fwd': 'A', 'claude_4_opus:2920:10:fwd': 'A'}",4,medium,2.7639715671539307,4.399723380804062,6.33904988306157,2.0535957017479713,2.0530405624741705,"{'gemini_2.5_flash:2920:12:bwd': 'factor_1', 'claude_3.7_sonnet:2920:13:fwd': 'factor_1', 'gemini_2.5_flash_lite:2920:20:fwd': 'factor_1', 'claude_4_opus:2920:10:fwd': 'factor_1'}","{'claude_haiku_4_5': 0.25, 'mistral_14b': 0.5, 'mistral_3b': 0.75, 'mistral_8b': 0.75, 'qwen3_5_0_8b': 0.75, 'qwen3_5_27b': 0.25, 'qwen3_5_2b': 0.5, 'qwen3_5_4b': 0.25, 'qwen3_5_9b': 0.0}"
abc385_d,"['gemini_2.5_flash_lite:abc385_d:347:bwd', 'gemini_2.5_pro:abc385_d:153:bwd', 'claude_3.7_sonnet:abc385_d:307:fwd']","['gemini_2.5_flash_lite:abc385_d:347', 'gemini_2.5_pro:abc385_d:153', 'claude_3.7_sonnet:abc385_d:307']","['claude_3.7_sonnet', 'gemini_2.5_flash_lite', 'gemini_2.5_pro']","['bwd', 'fwd']","{'gemini_2.5_flash_lite:abc385_d:347:bwd': 'B', 'gemini_2.5_pro:abc385_d:153:bwd': 'B', 'claude_3.7_sonnet:abc385_d:307:fwd': 'A'}",3,hard,3.29775208234787,4.933503886063893,7.444820034157083,0.7532818649458131,0.7544546352045026,"{'gemini_2.5_flash_lite:abc385_d:347:bwd': 'factor_1', 'gemini_2.5_pro:abc385_d:153:bwd': 'factor_1', 'claude_3.7_sonnet:abc385_d:307:fwd': 'factor_1'}","{'claude_haiku_4_5': 0.6666666666666666, 'mistral_14b': 0.3333333333333333, 'mistral_3b': 0.6666666666666666, 'mistral_8b': 0.3333333333333333, 'qwen3_5_0_8b': 0.3333333333333333, 'qwen3_5_27b': 0.6666666666666666, 'qwen3_5_2b': 0.6666666666666666, 'qwen3_5_4b': 0.6666666666666666, 'qwen3_5_9b': 0.3333333333333333}"
abc384_f,"['claude_4_sonnet:abc384_f:244:bwd', 'gemini_2.5_pro:abc384_f:152:fwd', 'gemini_2.5_flash:abc384_f:252:fwd', 'qwen3_235b:abc384_f:180:bwd', 'gemini_2.5_flash_lite:abc384_f:345:bwd']","['claude_4_sonnet:abc384_f:244', 'gemini_2.5_pro:abc384_f:152', 'gemini_2.5_flash:abc384_f:252', 'qwen3_235b:abc384_f:180', 'gemini_2.5_flash_lite:abc384_f:345']","['claude_4_sonnet', 'gemini_2.5_flash', 'gemini_2.5_flash_lite', 'gemini_2.5_pro', 'qwen3_235b']","['bwd', 'fwd']","{'claude_4_sonnet:abc384_f:244:bwd': 'B', 'gemini_2.5_pro:abc384_f:152:fwd': 'A', 'gemini_2.5_flash:abc384_f:252:fwd': 'A', 'qwen3_235b:abc384_f:180:bwd': 'B', 'gemini_2.5_flash_lite:abc384_f:345:bwd': 'B'}",5,hard,0.8474493205547333,2.4832011103630065,6.478735756694168,1.3361500823792452,1.3360329099180004,"{'claude_4_sonnet:abc384_f:244:bwd': 'factor_1', 'gemini_2.5_pro:abc384_f:152:fwd': 'factor_1', 'gemini_2.5_flash:abc384_f:252:fwd': 'factor_1', 'qwen3_235b:abc384_f:180:bwd': 'factor_1', 'gemini_2.5_flash_lite:abc384_f:345:bwd': 'factor_1'}","{'claude_haiku_4_5': 0.2, 'mistral_14b': 0.6, 'mistral_3b': 0.6, 'mistral_8b': 0.8, 'qwen3_5_0_8b': 0.4, 'qwen3_5_27b': 0.6, 'qwen3_5_2b': 0.6, 'qwen3_5_4b': 0.6, 'qwen3_5_9b': 0.6}"
