item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,loading_factor_2,dominant_factor,item_id_meta,pair_id,source,split,gold_letter,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi,solver_scores
5145,6.745319843292236,7.152286529541016,-6.745319843292236,7.541895866394043,8.454601287841797,factor_2,5145,b1614f17-39fb-564a-84c7-bcd7a2054dc8,mmlu-pro-other,gpt,A,1.7855770587921143,1.8952713012695312,3.4375545978546143,10.867018699645996,"{'claude_haiku_4_5_20251001': 0.0, 'claude_sonnet_4_6': 1.0, 'mistralai_ministral_3_14b_instruct_2512_bf16': 1.0, 'mistralai_ministral_3_3b_instruct_2512_bf16': 1.0, 'mistralai_ministral_3_8b_instruct_2512_bf16': 1.0, 'qwen_qwen3_5_0_8b': 0.0, 'qwen_qwen3_5_27b': None, 'qwen_qwen3_5_2b': 1.0, 'qwen_qwen3_5_4b': None, 'qwen_qwen3_5_9b': None}"
5056,6.050287246704102,6.457253932952881,-6.050287246704102,-1.5584295988082886,0.6053619980812073,factor_1,5056,6ed13f8d-9733-5839-a628-22c6ec6c9f27,mmlu-pro-history,gpt,A,8.646111488342285,8.6156587600708,-10.429437637329102,23.34394645690918,"{'claude_haiku_4_5_20251001': 0.0, 'claude_sonnet_4_6': 1.0, 'mistralai_ministral_3_14b_instruct_2512_bf16': 0.0, 'mistralai_ministral_3_3b_instruct_2512_bf16': 0.0, 'mistralai_ministral_3_8b_instruct_2512_bf16': 0.0, 'qwen_qwen3_5_0_8b': 0.0, 'qwen_qwen3_5_27b': 0.0, 'qwen_qwen3_5_2b': 0.0, 'qwen_qwen3_5_4b': 0.0, 'qwen_qwen3_5_9b': 0.0}"
12212,5.982089042663574,6.3890557289123535,-5.982089042663574,1.9147120714187622,0.3275376260280609,factor_1,12212,c7bb7c2b-6fb2-5254-a773-9046ca946006,mmlu-pro-engineering,gpt,J,1.2316234111785889,1.3936896324157715,3.657423973083496,9.120687484741211,"{'claude_haiku_4_5_20251001': 0.0, 'claude_sonnet_4_6': None, 'mistralai_ministral_3_14b_instruct_2512_bf16': 1.0, 'mistralai_ministral_3_3b_instruct_2512_bf16': 1.0, 'mistralai_ministral_3_8b_instruct_2512_bf16': 0.0, 'qwen_qwen3_5_0_8b': 0.0, 'qwen_qwen3_5_27b': None, 'qwen_qwen3_5_2b': 0.0, 'qwen_qwen3_5_4b': None, 'qwen_qwen3_5_9b': None}"
8312,5.801146984100342,6.208113670349121,-5.801146984100342,-0.25359469652175903,1.2902013063430786,factor_2,8312,405f3561-1bb7-56f5-88a2-c28cec94c5d4,mmlu-pro-math,gpt,B,6.789118766784668,6.7778096199035645,-7.076393127441406,19.49262046813965,"{'claude_haiku_4_5_20251001': 0.0, 'claude_sonnet_4_6': None, 'mistralai_ministral_3_14b_instruct_2512_bf16': 1.0, 'mistralai_ministral_3_3b_instruct_2512_bf16': None, 'mistralai_ministral_3_8b_instruct_2512_bf16': 0.0, 'qwen_qwen3_5_0_8b': 0.0, 'qwen_qwen3_5_27b': 0.0, 'qwen_qwen3_5_2b': None, 'qwen_qwen3_5_4b': 0.0, 'qwen_qwen3_5_9b': 0.0}"
7584,5.66566276550293,6.072629451751709,-5.66566276550293,0.4994550049304962,0.5519556999206543,factor_2,7584,766bdf22-3677-53bf-9c46-4fb984430682,mmlu-pro-economics,gpt,J,4.323335647583008,4.346683979034424,-2.446871280670166,14.592130661010742,"{'claude_haiku_4_5_20251001': 0.0, 'claude_sonnet_4_6': 0.0, 'mistralai_ministral_3_14b_instruct_2512_bf16': 1.0, 'mistralai_ministral_3_3b_instruct_2512_bf16': None, 'mistralai_ministral_3_8b_instruct_2512_bf16': 0.0, 'qwen_qwen3_5_0_8b': 0.0, 'qwen_qwen3_5_27b': 0.0, 'qwen_qwen3_5_2b': 0.0, 'qwen_qwen3_5_4b': 0.0, 'qwen_qwen3_5_9b': 0.0}"
9158,5.366946220397949,5.7739129066467285,-5.366946220397949,-1.970638632774353,0.10110384225845337,factor_1,9158,e3de7dfc-4b9e-5476-b7af-92d7d00bf2d3,mmlu-pro-physics,gpt,E,7.250073432922363,7.233677864074707,-8.404096603393555,19.951921463012695,"{'claude_haiku_4_5_20251001': 0.0, 'claude_sonnet_4_6': 1.0, 'mistralai_ministral_3_14b_instruct_2512_bf16': 0.0, 'mistralai_ministral_3_3b_instruct_2512_bf16': 0.0, 'mistralai_ministral_3_8b_instruct_2512_bf16': 0.0, 'qwen_qwen3_5_0_8b': 0.0, 'qwen_qwen3_5_27b': 0.0, 'qwen_qwen3_5_2b': 0.0, 'qwen_qwen3_5_4b': None, 'qwen_qwen3_5_9b': None}"
6728,5.366216659545898,5.773183345794678,-5.366216659545898,-0.10248465090990067,-0.07796266674995422,factor_1,6728,0a347026-2ec5-5879-9635-e6fc818d021b,mmlu-pro-health,gpt,D,4.8407793045043945,4.8553056716918945,-3.743216037750244,15.289583206176758,"{'claude_haiku_4_5_20251001': 0.0, 'claude_sonnet_4_6': 0.0, 'mistralai_ministral_3_14b_instruct_2512_bf16': 0.0, 'mistralai_ministral_3_3b_instruct_2512_bf16': 0.0, 'mistralai_ministral_3_8b_instruct_2512_bf16': 0.0, 'qwen_qwen3_5_0_8b': 0.0, 'qwen_qwen3_5_27b': 0.0, 'qwen_qwen3_5_2b': 0.0, 'qwen_qwen3_5_4b': 0.0, 'qwen_qwen3_5_9b': 0.0}"
2256,4.944777965545654,5.351744651794434,-4.944777965545654,-0.10281985253095627,-0.07802136987447739,factor_1,2256,cc8d0d03-7d7e-5728-8bd6-fa03589c976d,mmlu-pro-psychology,gpt,J,3.931022882461548,3.9619979858398438,-2.413771629333496,13.117260932922363,"{'claude_haiku_4_5_20251001': 0.0, 'claude_sonnet_4_6': 0.0, 'mistralai_ministral_3_14b_instruct_2512_bf16': 0.0, 'mistralai_ministral_3_3b_instruct_2512_bf16': 0.0, 'mistralai_ministral_3_8b_instruct_2512_bf16': 0.0, 'qwen_qwen3_5_0_8b': 0.0, 'qwen_qwen3_5_27b': 0.0, 'qwen_qwen3_5_2b': 0.0, 'qwen_qwen3_5_4b': 0.0, 'qwen_qwen3_5_9b': 0.0}"
1330,4.866811752319336,5.273778438568115,-4.866811752319336,-1.213571310043335,0.5029246807098389,factor_1,1330,50e6565c-07f5-57d6-80d8-028498a1251b,mmlu-pro-law,gpt,H,5.818118572235107,5.818595886230469,-6.130670070648193,16.678226470947266,"{'claude_haiku_4_5_20251001': 0.0, 'claude_sonnet_4_6': 1.0, 'mistralai_ministral_3_14b_instruct_2512_bf16': 0.0, 'mistralai_ministral_3_3b_instruct_2512_bf16': 0.0, 'mistralai_ministral_3_8b_instruct_2512_bf16': 0.0, 'qwen_qwen3_5_0_8b': 0.0, 'qwen_qwen3_5_27b': None, 'qwen_qwen3_5_2b': 0.0, 'qwen_qwen3_5_4b': 0.0, 'qwen_qwen3_5_9b': None}"
7568,4.767258644104004,5.174225330352783,-4.767258644104004,-1.6347384452819824,-1.526320219039917,factor_1,7568,a5c0fd0a-7440-5461-9a32-c6c5ff574ae0,mmlu-pro-economics,gpt,D,2.224966526031494,2.308973550796509,0.6486372947692871,9.699813842773438,"{'claude_haiku_4_5_20251001': 0.0, 'claude_sonnet_4_6': 0.0, 'mistralai_ministral_3_14b_instruct_2512_bf16': 0.0, 'mistralai_ministral_3_3b_instruct_2512_bf16': 0.0, 'mistralai_ministral_3_8b_instruct_2512_bf16': 0.0, 'qwen_qwen3_5_0_8b': 0.0, 'qwen_qwen3_5_27b': 0.0, 'qwen_qwen3_5_2b': 0.0, 'qwen_qwen3_5_4b': 1.0, 'qwen_qwen3_5_9b': 0.0}"
