item_id,difficulty,difficulty_centered,easiness_z,loading_factor_1,dominant_factor,item_id_meta,original_id,order,pair_id,source,split,response_model,gold_label,difficulty_laplace_se,difficulty_centered_laplace_se,difficulty_centered_laplace_lo,difficulty_centered_laplace_hi,judge_order_scores
5087:original,16.11383056640625,17.17820167541504,-16.11383056640625,14.842421531677246,factor_1,5087:original,5087,original,585e5a43-454b-56f7-aba3-fb4e22938020,mmlu-pro-other,gpt,gpt-4o-2024-05-13,B>A,1.8432888984680176,1.855886459350586,13.540664672851562,20.815738677978516,"{'mistralai_ministral_3_14b_instruct_2512_bf16': 1.0, 'mistralai_ministral_3_3b_instruct_2512_bf16': 1.0, 'mistralai_ministral_3_8b_instruct_2512_bf16': 1.0, 'qwen_qwen3_5_0_8b': 0.0, 'qwen_qwen3_5_27b': 1.0, 'qwen_qwen3_5_2b': 0.0, 'qwen_qwen3_5_4b': 1.0, 'qwen_qwen3_5_9b': 0.0, 'claude_haiku_4_5_20251001': 1.0, 'claude_sonnet_4_6': 1.0}"
4019:original,14.612394332885742,15.676765441894531,-14.612394332885742,11.020635604858398,factor_1,4019:original,4019,original,129dfd5d-5786-57e3-8548-df0d26a42659,mmlu-pro-chemistry,gpt,gpt-4o-2024-05-13,B>A,1.735245704650879,1.7493395805358887,12.24806022644043,19.105470657348633,"{'mistralai_ministral_3_14b_instruct_2512_bf16': 1.0, 'mistralai_ministral_3_3b_instruct_2512_bf16': 1.0, 'mistralai_ministral_3_8b_instruct_2512_bf16': 1.0, 'qwen_qwen3_5_0_8b': 0.0, 'qwen_qwen3_5_27b': 1.0, 'qwen_qwen3_5_2b': 0.0, 'qwen_qwen3_5_4b': 0.0, 'qwen_qwen3_5_9b': 0.0, 'claude_haiku_4_5_20251001': 1.0, 'claude_sonnet_4_6': 1.0}"
7403:original,13.69261360168457,14.75698471069336,-13.69261360168457,4.082980155944824,factor_1,7403:original,7403,original,07019bab-fc3e-5c91-ac9c-36869cfe79b0,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,B>A,5.842957973480225,5.829848289489746,3.33048152923584,26.183486938476562,"{'mistralai_ministral_3_14b_instruct_2512_bf16': 1.0, 'mistralai_ministral_3_3b_instruct_2512_bf16': 0.0, 'mistralai_ministral_3_8b_instruct_2512_bf16': 1.0, 'qwen_qwen3_5_0_8b': 0.0, 'qwen_qwen3_5_27b': 0.0, 'qwen_qwen3_5_2b': 0.0, 'qwen_qwen3_5_4b': 0.0, 'qwen_qwen3_5_9b': 0.0, 'claude_haiku_4_5_20251001': 1.0, 'claude_sonnet_4_6': 0.0}"
687:swapped,12.730571746826172,13.794942855834961,-12.730571746826172,7.16205358505249,factor_1,687:swapped,687,swapped,6ad28b38-685f-5146-ab23-ff8fbcc81210,mmlu-pro-business,gpt,gpt-4o-2024-05-13,B>A,2.284308910369873,2.2919089794158936,9.302801132202148,18.287084579467773,"{'mistralai_ministral_3_14b_instruct_2512_bf16': 1.0, 'mistralai_ministral_3_3b_instruct_2512_bf16': 0.0, 'mistralai_ministral_3_8b_instruct_2512_bf16': 1.0, 'qwen_qwen3_5_0_8b': 0.0, 'qwen_qwen3_5_27b': 1.0, 'qwen_qwen3_5_2b': 0.0, 'qwen_qwen3_5_4b': 0.0, 'qwen_qwen3_5_9b': 0.0, 'claude_haiku_4_5_20251001': 1.0, 'claude_sonnet_4_6': 1.0}"
7623:original,12.604596138000488,13.668967247009277,-12.604596138000488,7.133133888244629,factor_1,7623:original,7623,original,3c6f3a85-c058-543a-8226-852972410970,mmlu-pro-economics,gpt,gpt-4o-2024-05-13,B>A,2.268449068069458,2.27620530128479,9.207605361938477,18.130329132080078,"{'mistralai_ministral_3_14b_instruct_2512_bf16': 1.0, 'mistralai_ministral_3_3b_instruct_2512_bf16': 0.0, 'mistralai_ministral_3_8b_instruct_2512_bf16': 1.0, 'qwen_qwen3_5_0_8b': 0.0, 'qwen_qwen3_5_27b': 1.0, 'qwen_qwen3_5_2b': 0.0, 'qwen_qwen3_5_4b': 0.0, 'qwen_qwen3_5_9b': 0.0, 'claude_haiku_4_5_20251001': 1.0, 'claude_sonnet_4_6': 1.0}"
11421:swapped,12.57062816619873,13.63499927520752,-12.57062816619873,9.485836029052734,factor_1,11421:swapped,11421,swapped,bd2ab0d9-9fed-5c10-94a7-efa1750148f4,mmlu-pro-engineering,gpt,gpt-4o-2024-05-13,B>A,1.6100986003875732,1.6261142492294312,10.44781494140625,16.82218360900879,"{'mistralai_ministral_3_14b_instruct_2512_bf16': 1.0, 'mistralai_ministral_3_3b_instruct_2512_bf16': 1.0, 'mistralai_ministral_3_8b_instruct_2512_bf16': 1.0, 'qwen_qwen3_5_0_8b': 0.0, 'qwen_qwen3_5_27b': 1.0, 'qwen_qwen3_5_2b': 0.0, 'qwen_qwen3_5_4b': 0.0, 'qwen_qwen3_5_9b': 0.0, 'claude_haiku_4_5_20251001': 1.0, 'claude_sonnet_4_6': 1.0}"
6105:swapped,12.43556022644043,13.499931335449219,-12.43556022644043,7.042211532592773,factor_1,6105:swapped,6105,swapped,0cdc4e4b-d2a3-5218-b01a-c60f2e407d5e,mmlu-pro-health,gpt,gpt-4o-2024-05-13,B>A,2.2328543663024902,2.2409658432006836,9.107638359069824,17.892223358154297,"{'mistralai_ministral_3_14b_instruct_2512_bf16': 1.0, 'mistralai_ministral_3_3b_instruct_2512_bf16': 0.0, 'mistralai_ministral_3_8b_instruct_2512_bf16': 1.0, 'qwen_qwen3_5_0_8b': 0.0, 'qwen_qwen3_5_27b': 1.0, 'qwen_qwen3_5_2b': 0.0, 'qwen_qwen3_5_4b': 0.0, 'qwen_qwen3_5_9b': 0.0, 'claude_haiku_4_5_20251001': 1.0, 'claude_sonnet_4_6': 1.0}"
6311:original,12.214879035949707,13.279250144958496,-12.214879035949707,9.211215019226074,factor_1,6311:original,6311,original,d61248f3-8e80-5097-8892-10c086a492d2,mmlu-pro-health,gpt,gpt-4o-2024-05-13,B>A,1.5894813537597656,1.605836033821106,10.131811141967773,16.42668914794922,"{'mistralai_ministral_3_14b_instruct_2512_bf16': 1.0, 'mistralai_ministral_3_3b_instruct_2512_bf16': 1.0, 'mistralai_ministral_3_8b_instruct_2512_bf16': 1.0, 'qwen_qwen3_5_0_8b': 0.0, 'qwen_qwen3_5_27b': 1.0, 'qwen_qwen3_5_2b': 0.0, 'qwen_qwen3_5_4b': 0.0, 'qwen_qwen3_5_9b': 0.0, 'claude_haiku_4_5_20251001': 1.0, 'claude_sonnet_4_6': 1.0}"
6728:original,10.762530326843262,11.82690143585205,-10.762530326843262,3.2048988342285156,factor_1,6728:original,6728,original,0a347026-2ec5-5879-9635-e6fc818d021b,mmlu-pro-health,gpt,gpt-4o-2024-05-13,B>A,3.5719048976898193,3.5699188709259033,4.829860210418701,18.823942184448242,"{'mistralai_ministral_3_14b_instruct_2512_bf16': 1.0, 'mistralai_ministral_3_3b_instruct_2512_bf16': 0.0, 'mistralai_ministral_3_8b_instruct_2512_bf16': 1.0, 'qwen_qwen3_5_0_8b': 0.0, 'qwen_qwen3_5_27b': 0.0, 'qwen_qwen3_5_2b': 0.0, 'qwen_qwen3_5_4b': 0.0, 'qwen_qwen3_5_9b': 0.0, 'claude_haiku_4_5_20251001': 1.0, 'claude_sonnet_4_6': 0.0}"
2416:swapped,10.65855598449707,11.72292709350586,-10.65855598449707,3.1818599700927734,factor_1,2416:swapped,2416,swapped,c20860f9-7468-546b-ae86-4ae6a6493de9,mmlu-pro-psychology,gpt,gpt-4o-2024-05-13,B>A,3.510822057723999,3.509201765060425,4.844891548156738,18.600963592529297,"{'mistralai_ministral_3_14b_instruct_2512_bf16': 1.0, 'mistralai_ministral_3_3b_instruct_2512_bf16': 0.0, 'mistralai_ministral_3_8b_instruct_2512_bf16': 1.0, 'qwen_qwen3_5_0_8b': 0.0, 'qwen_qwen3_5_27b': 0.0, 'qwen_qwen3_5_2b': 0.0, 'qwen_qwen3_5_4b': 0.0, 'qwen_qwen3_5_9b': 0.0, 'claude_haiku_4_5_20251001': 1.0, 'claude_sonnet_4_6': 0.0}"
