solver_item_id,solver_pair_id,solver_source,solver_difficulty_centered,solver_difficulty_centered_laplace_se,judge_difficulty_centered,judge_difficulty_centered_laplace_se,solver_difficulty_percentile,judge_difficulty_percentile
7978,bd6f87f2-cb60-58b3-8b27-4eceab2bfc79,mmlu-pro-math,8.128339767456055,2.8242735862731934,0.5614819526672363,6.431712657238503,100.0,57.7922077922078
2934,6c5f9b09-193f-5070-9dfd-2dee1f69a9a3,mmlu-pro-biology,7.932643413543701,3.846336841583252,-0.7476109862327576,0.6990988141148967,99.35064935064936,34.41558441558442
9524,34e8d16b-9824-5373-b735-d25a3df21044,mmlu-pro-physics,6.580580711364746,13.247175216674805,2.106333374977112,0.6406503241110163,98.7012987012987,82.46753246753246
1330,50e6565c-07f5-57d6-80d8-028498a1251b,mmlu-pro-law,5.959334373474121,8.793365478515625,-1.367596983909607,2.313252846823558,98.05194805194806,27.92207792207792
6222,1c76021c-cb8e-5477-8f7e-88855d6dd547,mmlu-pro-health,5.945631980895996,7.515181541442871,0.9165541529655457,0.7082294490482701,97.40259740259741,66.23376623376623
3250,49c0f568-1ac2-53dc-be78-f3eea93820fd,mmlu-pro-biology,5.3644633293151855,5.885995388031006,5.610095977783203,2.355858357439046,96.75324675324676,96.75324675324676
9158,e3de7dfc-4b9e-5476-b7af-92d7d00bf2d3,mmlu-pro-physics,5.330001354217529,6.949764251708984,-1.351464569568634,2.601056538576167,96.1038961038961,28.57142857142857
2256,cc8d0d03-7d7e-5728-8bd6-fa03589c976d,mmlu-pro-psychology,5.27550745010376,6.043693542480469,1.6365702748298645,0.7368549855572016,95.45454545454545,75.97402597402598
5056,6ed13f8d-9733-5839-a628-22c6ec6c9f27,mmlu-pro-history,5.150540828704834,5.366386413574219,4.354165017604828,0.8253298974356315,94.8051948051948,92.20779220779221
4891,d9cc990f-fb19-521e-a8fa-68f3325f8730,mmlu-pro-history,5.063751697540283,1.7084403038024902,1.6447101831436157,0.6800696238647719,94.15584415584416,76.62337662337663
6742,ca91b783-54e9-5fb6-9c30-a7ebf3ee7258,mmlu-pro-health,4.999931812286377,2.356065511703491,0.06900548934936523,6.946951975899683,93.5064935064935,53.246753246753244
3242,79d55355-34c0-5ba7-842e-65671b9858d9,mmlu-pro-biology,4.995003700256348,1.694150686264038,-5.601692199707031,2.8818283528687187,92.85714285714286,1.948051948051948
1097,138e503c-b09d-5d19-82ff-0b5ddc3e7bf6,mmlu-pro-law,4.943178653717041,4.917328834533691,-1.503415584564209,6.712362004839857,92.20779220779221,27.27272727272727
3899,57500a89-7795-5299-b6a8-d0ab8da2687a,mmlu-pro-chemistry,4.856436729431152,6.938601493835449,-4.193215608596802,1.5298167315301983,91.55844155844156,9.090909090909092
11603,b82d8f3f-f994-5775-b1b1-13420519ca81,mmlu-pro-engineering,4.773828029632568,1.4753508567810059,-0.09686970710754395,8.051313203762271,90.9090909090909,47.4025974025974
8857,26d7ab00-c73b-5b3e-8bc3-4a8f941fceb7,mmlu-pro-math,4.601445198059082,2.214988946914673,-3.89764404296875,3.8772136361370806,90.25974025974025,11.03896103896104
6728,0a347026-2ec5-5879-9635-e6fc818d021b,mmlu-pro-health,4.189522743225098,3.5397708415985107,2.0787954330444336,1.9353567409127255,89.6103896103896,81.81818181818183
8762,730909ae-6903-517a-ad99-9991d2cfc217,mmlu-pro-math,4.153070449829102,4.978017330169678,0.00858604907989502,0.7746171017892294,88.96103896103897,51.298701298701296
4529,1ca1b199-b089-5951-8a57-28a320573def,mmlu-pro-chemistry,4.068277359008789,4.038978099822998,-0.794891357421875,3.335049008191319,88.31168831168831,32.467532467532465
10608,799a7559-a3b1-5dc3-bec3-54d5e930fd24,mmlu-pro-computer science,3.7813565731048584,1.9787535667419434,-0.294574499130249,1.970834063620178,87.66233766233766,44.15584415584416
