difficulty_bin,solver_difficulty_mean,judge_score_mean,n_prompts
1,-2.2111215932028636,0.39999999999999997,12
2,-1.4180507333505723,0.33958333333333335,12
3,-0.8746552374455835,0.34393939393939393,11
4,-0.5548947339966184,0.37916666666666665,12
5,-0.3197111494484402,0.33287037037037037,12
6,7.528376269650365e-05,0.34015151515151515,11
7,0.4889086215268998,0.3833333333333333,12
8,0.823689409664699,0.3393939393939394,11
9,1.346511498803184,0.3902777777777778,12
10,2.7150084433101473,0.4895833333333333,12
