difficulty_bin,solver_difficulty_mean,judge_score_mean,judge_score_sd,n_items,n_judge_pair_items
1,-7.148191045312321,0.6109710550887021,0.15799439540627028,68,182
2,-2.8122839752365563,0.5841036414565827,0.17828164462713006,68,179
3,-0.8114999288053655,0.5669410882097449,0.13939700741318292,67,216
4,-0.06661152313737308,0.6058940242763772,0.14824685516545807,68,224
5,0.3900808167101732,0.6104754007739083,0.16518561002539603,67,222
6,0.7830653348389793,0.6236830843448491,0.17241418429063446,68,200
7,1.1585164123506688,0.5756692726841981,0.1410112768385987,67,231
8,1.536131830776439,0.5648420479302833,0.13988067828832063,68,233
9,2.1275660208801725,0.5961837637210772,0.16669860027969613,67,219
10,4.8853537510423095,0.5950105042016807,0.14794237919289838,68,197
