solver_item_id,solver_pair_id,solver_source,solver_difficulty_centered,solver_difficulty_centered_laplace_se,judge_difficulty_centered,judge_difficulty_centered_laplace_se
5145,b1614f17-39fb-564a-84c7-bcd7a2054dc8,mmlu-pro-other,7.152286529541016,1.8952713012695312,-0.4522050619125366,1.8617149026950295
5056,6ed13f8d-9733-5839-a628-22c6ec6c9f27,mmlu-pro-history,6.457253932952881,8.6156587600708,-0.35549378395080566,1.1407729693482511
12212,c7bb7c2b-6fb2-5254-a773-9046ca946006,mmlu-pro-engineering,6.3890557289123535,1.3936896324157715,-1.0497012734413147,2.716618265892793
8312,405f3561-1bb7-56f5-88a2-c28cec94c5d4,mmlu-pro-math,6.208113670349121,6.7778096199035645,1.4396014511585236,0.5917814708107889
7584,766bdf22-3677-53bf-9c46-4fb984430682,mmlu-pro-economics,6.072629451751709,4.346683979034424,-0.9654685258865356,0.9530578441801001
9158,e3de7dfc-4b9e-5476-b7af-92d7d00bf2d3,mmlu-pro-physics,5.7739129066467285,7.233677864074707,-3.5185654163360596,5.40263691076788
6728,0a347026-2ec5-5879-9635-e6fc818d021b,mmlu-pro-health,5.773183345794678,4.8553056716918945,4.213905990123749,2.293291332948175
2256,cc8d0d03-7d7e-5728-8bd6-fa03589c976d,mmlu-pro-psychology,5.351744651794434,3.9619979858398438,-1.727591373026371,1.109665714821311
1330,50e6565c-07f5-57d6-80d8-028498a1251b,mmlu-pro-law,5.273778438568115,5.818595886230469,-2.710275650024414,1.772365941919479
7568,a5c0fd0a-7440-5461-9a32-c6c5ff574ae0,mmlu-pro-economics,5.174225330352783,2.308973550796509,4.520340800285339,1.8328292190906468
7403,07019bab-fc3e-5c91-ac9c-36869cfe79b0,mmlu-pro-economics,5.064132213592529,3.905189275741577,-1.680525541305542,4.239845081296993
8762,730909ae-6903-517a-ad99-9991d2cfc217,mmlu-pro-math,5.005324840545654,6.630117893218994,-7.292554140090942,2.0382041916382283
3306,ad732066-b195-5f46-a39f-6f1184aa594b,mmlu-pro-biology,4.979928970336914,1.6475831270217896,-2.851278781890869,4.531684233778773
