question_id,solver_item_id,solver_difficulty_meta,solver_platform,solver_difficulty_centered,solver_difficulty_centered_laplace_se,judge_difficulty_centered,judge_difficulty_centered_laplace_se,judge_difficulty_pair_sd,judge_n_pair_items,solver_difficulty_percentile,judge_difficulty_percentile
3558,3558,medium,leetcode,6.556765079498291,27.546213150024414,4.900655642151833,2.1262614164286564,7.404715703885659,4,100.0,93.49112426035504
2730,2730,medium,leetcode,6.236329555511475,19.170551300048828,-5.927743434906006,5.298370838165283,0.0,1,99.85207100591717,5.769230769230769
3777,3777,hard,leetcode,5.868868827819824,19.359243392944336,0.3312568664550781,1.0662151711275514,4.62918661679343,3,99.70414201183432,54.437869822485204
2854,2854,medium,leetcode,5.806928634643555,19.40643882751465,1.6132779121398926,3.8357309981349834,11.68997330895401,2,99.55621301775149,70.56213017751479
3771,3771,medium,leetcode,5.733614444732666,18.43132972717285,3.6588419874509177,1.6563144186540628,6.8366571077189064,6,99.40828402366864,88.90532544378699
abc324_d,abc324_d,hard,atcoder,5.685416221618652,18.587867736816406,1.992397944132487,0.7603371772674086,3.461039169928143,3,99.2603550295858,76.62721893491124
3230,3230,medium,leetcode,5.5941548347473145,16.4698543548584,-0.9791747331619263,1.520710641373272,2.2870387412655173,3,99.11242603550295,38.31360946745562
3534,3534,medium,leetcode,5.573132514953613,17.55937957763672,3.2194676637649535,0.7985681871079813,3.6731077788261515,5,98.96449704142012,86.09467455621301
3166,3166,medium,leetcode,5.5694260597229,15.39873218536377,2.2909766137599945,1.3156656912628804,6.862841042167769,4,98.81656804733728,79.43786982248521
3026,3026,medium,leetcode,5.465660095214844,12.60134220123291,5.99534273147583,1.2848927739190281,3.649432101546554,4,98.66863905325444,95.26627218934911
arc194_a,arc194_a,medium,atcoder,5.349389553070068,14.328227043151855,-5.398952960968018,4.190767964708331,1.0086725399038157,2,98.5207100591716,7.2485207100591715
3786,3786,medium,leetcode,5.342103004455566,14.946207046508789,0.08148834109306335,2.007132147517387,4.1808084911664105,4,98.37278106508876,50.591715976331365
abc323_d,abc323_d,hard,atcoder,5.228384494781494,14.169477462768555,0.9821703831354777,2.1837071312987977,4.407960569555393,6,98.22485207100591,62.57396449704142
abc341_f,abc341_f,hard,atcoder,5.221925735473633,12.836875915527344,0.07071567433221,0.9335178037877415,4.651853065637709,7,98.07692307692307,50.29585798816568
arc186_a,arc186_a,hard,atcoder,5.204579830169678,12.214741706848145,0.6681959629058838,1.024893045425415,0.0,1,97.92899408284023,59.46745562130178
3416,3416,medium,leetcode,5.185157775878906,10.536537170410156,-5.861871242523193,3.357903003692627,0.0,1,97.7810650887574,5.9171597633136095
2921,2921,hard,leetcode,5.17557430267334,13.529037475585938,0.1257314682006836,2.1009488685859274,8.868406197356768,4,97.63313609467455,51.62721893491125
3502,3502,medium,leetcode,5.144207000732422,11.694242477416992,1.6420938968658447,6.495282173156738,0.0,1,97.48520710059172,71.15384615384616
3799,3799,easy,leetcode,5.143513202667236,14.065783500671387,-1.931216835975647,1.1510897494773549,2.4085094750750566,2,97.33727810650888,27.366863905325445
arc192_d,arc192_d,hard,atcoder,5.102510929107666,12.548338890075684,-6.575699806213379,1.5312585830688477,0.0,1,97.18934911242604,4.289940828402367
3721,3721,medium,leetcode,5.096369743347168,10.211143493652344,3.2741170823574066,2.112522709589791,3.0116422687143785,4,97.0414201183432,86.53846153846155
3031,3031,medium,leetcode,5.075478553771973,13.739752769470215,-8.319059610366821,1.3964155643110276,7.969836543718343,2,96.89349112426035,1.4792899408284024
3464,3464,medium,leetcode,5.061376571655273,10.618997573852539,4.241760651270549,0.871247436698244,2.802910295558896,3,96.7455621301775,90.97633136094674
3104,3104,medium,leetcode,4.97839879989624,12.682364463806152,-2.8767175376415253,2.0757837101240706,4.987324966235418,2,96.59763313609467,20.857988165680474
2916,2916,medium,leetcode,4.943298816680908,10.866255760192871,0.6424168944358826,0.8752914071083069,0.0,1,96.44970414201184,58.4319526627219
3760,3760,medium,leetcode,4.93515157699585,8.613120079040527,-1.409881353378296,0.890673213205176,2.1927774592241644,2,96.30177514792899,33.875739644970416
3526,3526,medium,leetcode,4.9344096183776855,10.875383377075195,1.3860698342323303,0.5258614041223835,0.013141977421575912,2,96.15384615384616,68.19526627218934
abc342_e,abc342_e,hard,atcoder,4.929436683654785,11.430639266967773,-4.234195249421256,2.0508893442765115,5.577191025869662,7,96.00591715976331,12.57396449704142
